icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
NTGA;Анаа;Anaa;Анаа;Anaa;Французская Полинезия;14:137°,32:317°
YARY;;Arrabury;;Arrabury;Австралия;
HEAR;;Al Arish International Airport;Аль-Ариш;Al Arish;Египет;
TVSV;;Ad-Dabbah;;Ad-Dabbah;Судан;
DABB;;Les Salines;;Annaba;Алжир;
KAAF;;Municipal;;Apalachicola;США;
EGCN;;Arapoti;;Arapoti;Бразилия;
EDKA;;Aachen/Merzbruck;Аахен;Aachen;Германия;08:076°,26:256°
SWRA;;Arraias;;Arraias;Бразилия;
;;Cayana Airstrip;Аварадам;Awaradam;Суринам;
NGUK;Аранука;Aranuka;Аранука;Aranuka;Кирибати;
EKYT;Аальборг;Aalborg;Аальбург;Aalborg;Дания;08:080°,08:080°
FAMD;Мала-Мала;Mala Mala;Мала-Мала;Mala Mala;ЮАР;
OMAL;Эль-Аин;Al Ain;Аль-Айн;Al Ain;ОАЭ;01:006°,19:186°
SVAN;Анако;Anaco;Анако;Anaco;Венесуэла;09:103°,27:283°
KAAP;;Andrau Airpark;;Houston, TX;США;
URKA;Анапа/Аэропорт Витязево;Anapa/Vityazevo Airport;Анапа;Anapa;Россия;04:035°,22:215°
EKAH;;Aarhus Airport;Аарус;Aarhus;Дания;
;;Apalapsili;;Apalapsili;Индонезия;
ZWAT;Алтай;Altay;Алтай;Altay;Китай;
NSAU;Асау;Asau;Асау;Asau;Самоа;
RPMA;;Allah Valley;;Surallah;Филиппины;
KCID;;Abbottabad;;Abbottabad;Пакистан;
SBAX;;Araxa;;Araxa;Бразилия;16:157°,34:337°
OYGD;Аль-Гайда;Al Ghaydah;Аль-Гайда;Al Ghaydah;Йемен;
MGQZ;;Ambriz;;Ambriz;Ангола;
UNAA;Абакан аэропорт;Abakan Airport;Абакан;Abakan;Россия;02:021°,20:201°
EGUD;;RAF Station;Абингдон;Abingdon;Великобритания;
LEAB;;Los Llanos;Албасет;Albacete;Испания;
OIAA;Абадан;Abadan;Абадан;Abadan;Иран;
NGAB;Абайянг;Abaiang;Абайянг;Abaiang;Кирибати;
YABI;Абингдон;Abingdon;Абингдон;Abingdon;Австралия;
YAPH;Альфа;Alpha;;Alpha;Австралия;18:179°,36:359°
KABI;;Municipal;;Abilene;США;
DIAP;;Felix Houphouet Boigny;Абиджан;Abidjan;"Кот д&#039;Ивуар";
HAKD;Кабри-Дар;Kabri Dar;Кабри-Дар;Kabri Dar;Эфиопия;
PAFM;Амблер;Ambler;;Ambler;США;
YBAM;;Bamaga Injinoo;;Bamaga, Queensland;Австралия;
SMBN;Альбина;Albina;Альбина;Albina;Суринам;
DIAO;;Aboisso;;Aboisso;"Кот д&#039;Ивуар";
;Аткамба;Atkamba;Аткамба;Atkamba;Папуа - Новая Гвинея;
KABQ;;Albuquerque International;Альбукерк;Albuquerque;США;
KABR;;Municipal;;Aberdeen;США;
HEBL;Абу-Симбель;Abu Simbel;Абу-Симбель;Abu Simbel;Египет;15:146°,33:326°
OEBA;;Al-Aqiq;;Al-Baha;Саудовская Аравия;
WATA;;Atambua;;Atambua;Индонезия;
DNAA;;Nnamdi Azikiwe International Airport;Абуджа;Abuja;Нигерия;
;Абау;Abau;Абау;Abau;Папуа - Новая Гвинея;
YMAY;Элбери;Albury;Элбери;Albury;Австралия;07:069°,25:249°
KABY;;Dougherty County;Олбани;Albany;США;
EGPD;;Dyce;;Aberdeen;Великобритания;
KACB;;Antrim County;;Bellaire;США;
DGAA;Котока;Kotoka;;Accra;Гана;
SKAD;Аканди;Acandi;Аканди;Acandi;Колумбия;
GCRR;Ланцароте;Lanzarote;Арресиф;Arrecife;Испания;03:031°,21:211°
LSZR;;Altenrhein;;Altenrhein;Швейцария;
EGJA;;The Blaye;Элдерни;Alderney;Великобритания;
KACJ;Анурадхапура;Anuradhapura;Анурадхапура;Anuradhapura;Шри-Ланка;
KACK;;Nantucket Memorial;;Nantucket;США;
;;Aguaclara;;Aguaclara;Колумбия;
;Арика;Arica;Арика;Arica;Колумбия;
MMCC;;International;Сиудад-Акуна;Ciudad Acuna;Мексика;
LSZD;Аскона;Ascona;Аскона;Ascona;Швейцария;
OITM;;Sahand;;Sahand;Иран;
SKAC;Араракуара;Araracuara;Араракуара;Araracuara;Колумбия;
UNKS;Ачинск;Achinsk;Ачинск;Achinsk;Россия;
KACT;;Municipal;Вако;Waco;США;
;Ахутупо;Achutupo;Ахутупо;Achutupo;Панама;
KACV;;Arcata;;Arcata;США;
;;Xingyi;;Xingyi;Китай;
KACY;;Atlantic City Intl;Атлантик Сити;Atlantic City;США;
OIZB;;Zabol A/P;Забол;Zabol;Иран;
LTAF;Адана;Adana;Адана;Adana;Турция;
LTBJ;;Adnan Menderes;Измир;Izmir;Турция;
KADC;;Andakombe;;Andakombe;Папуа - Новая Гвинея;
HAAB;;Bole International;Аддис Абеба;Addis Ababa;Эфиопия;
